idx,Year,Player,Pos,School,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Height_inches,Probowl
116,2000.0,Mike Brown,SS,Nebraska,204.0,4.59,36.0,14.0,116.0,6.93,4.01,70.0,True
117,2000.0,Fred Robbins,DT,Wake Forest,312.0,5.09,29.5,25.0,94.0,7.72,4.72,76.0,False
118,2000.0,Mark Roman,CB,LSU,188.0,4.55,,,,,,71.0,False
119,2000.0,Mao Tosi,DT,Idaho,310.0,5.26,28.5,19.0,99.0,7.72,4.6,77.0,False
120,2000.0,Jeff Ulbrich,ILB,Hawaii,249.0,4.65,32.0,24.0,109.0,7.23,4.3,72.0,False
121,2000.0,Brian Urlacher,OLB,New Mexico,258.0,4.59,34.0,27.0,122.0,6.94,4.18,76.0,True
122,2000.0,Darrick Vaughn,CB,Texas State,196.0,4.53,36.5,14.0,121.0,7.09,4.16,71.0,False
123,2000.0,Darwin Walker,DT,Tennessee,293.0,4.82,,,,,,74.0,False
124,2000.0,Steve Warren,DT,Nebraska,307.0,5.1,30.5,29.0,105.0,7.97,4.56,73.0,False
125,2000.0,Jason Webster,CB,Texas A&M,180.0,4.42,35.5,17.0,122.0,6.76,3.98,69.0,False
126,2000.0,Damen Wheeler,CB,Colorado,179.0,4.51,35.0,11.0,115.0,7.21,4.27,69.0,False
127,2000.0,Josh Williams,DT,Michigan,282.0,4.9,30.5,,111.0,7.22,4.25,75.0,False
128,2000.0,Antonio Wilson,OLB,Texas A&M-Commerce,245.0,4.56,,11.0,,,,74.0,False
129,2000.0,Cedric Woodard,DT,Texas,290.0,5.21,30.5,23.0,109.0,,,74.0,False
130,2000.0,Raynoch Thompson,OLB,Tennessee,220.0,4.65,,,,,,75.0,False
131,2000.0,Adalius Thomas,DE,Southern Miss,270.0,4.56,38.5,,120.0,,4.42,74.0,True
132,2000.0,Lewis Sanders,CB,Maryland,202.0,4.5,37.0,10.0,116.0,,,72.0,False
133,2000.0,Sekou Sanyika,OLB,California,241.0,4.75,32.5,,111.0,7.33,4.38,75.0,False
134,2000.0,Tony Scott,CB,North Carolina State,193.0,4.5,34.0,11.0,116.0,7.45,4.24,70.0,False
135,2000.0,Jacoby Shepherd,CB,Oklahoma State,195.0,4.53,35.0,5.0,120.0,,,73.0,False
136,2000.0,Brandon Short,ILB,Penn State,252.0,4.72,,,,,,75.0,False
137,2000.0,Corey Simon,DT,Florida State,297.0,4.83,,,,,,74.0,True
138,2000.0,Mark Simoneau,OLB,Kansas State,237.0,4.6,36.0,24.0,117.0,7.08,4.09,72.0,False
139,2000.0,Peter Sirmon,ILB,Oregon,246.0,4.84,34.5,20.0,115.0,7.21,4.27,74.0,False
140,2000.0,T.J. Slaughter,ILB,Southern Miss,247.0,4.87,30.0,24.0,112.0,7.08,4.26,72.0,False
141,2000.0,Robaire Smith,DE,Michigan State,275.0,4.88,,,,,,76.0,False
142,2000.0,Shannon Taylor,OLB,Virginia,249.0,4.65,34.5,,115.0,,,75.0,False
143,2000.0,Brian Young,DE,Texas-El Paso,278.0,4.94,29.5,27.0,106.0,7.2,4.47,74.0,False
144,2000.0,Hank Poteat,CB,Pittsburgh,197.0,4.57,37.0,16.0,126.0,6.66,4.0,70.0,False
146,2000.0,Dustin Lyman,ILB,Wake Forest,259.0,4.7,35.0,22.0,118.0,6.86,4.06,76.0,False
147,2000.0,Al Lucas,DT,Troy,294.0,5.0,36.0,28.0,108.0,7.44,4.56,73.0,False
148,2000.0,Leif Larsen,DT,Texas-El Paso,300.0,5.08,30.0,45.0,110.0,7.46,4.37,76.0,False
149,2000.0,Kareem Larrimore,CB,West Texas A&M,190.0,4.42,34.0,,125.0,,,71.0,False
150,2000.0,Ben Kelly,CB,Colorado,183.0,4.53,36.0,17.0,116.0,6.63,3.95,69.0,False
151,2000.0,Fred Jones,OLB,Colorado,247.0,4.95,32.0,17.0,113.0,7.27,4.39,74.0,False
152,2000.0,Dhani Jones,OLB,Michigan,240.0,4.68,,29.0,,,,73.0,False
153,2000.0,Jerry Johnson,DT,Florida State,293.0,5.03,28.5,26.0,102.0,,,72.0,False
154,2000.0,Eric Johnson,SS,Nebraska,215.0,4.6,38.0,12.0,121.0,6.96,4.17,72.0,False
155,2000.0,Dwight Johnson,DT,Baylor,285.0,4.97,28.0,26.0,105.0,7.51,4.76,76.0,False
156,2000.0,Jabari Issa,DT,Washington,296.0,5.05,31.5,19.0,105.0,7.69,4.72,77.0,False
157,2000.0,Junior Ioane,DT,Arizona State,324.0,5.12,,,,,,75.0,False
158,2000.0,David Macklin,CB,Penn State,194.0,4.54,37.5,,120.0,6.9,4.09,69.0,False
159,2000.0,Anthony Malbrough,CB,Texas Tech,184.0,4.44,35.5,20.0,117.0,6.73,4.0,69.0,False
160,2000.0,DaShon Polk,OLB,Arizona,233.0,4.75,32.0,18.0,111.0,7.43,4.45,74.0,False
161,2000.0,Ahmed Plummer,CB,Ohio State,191.0,4.43,,,,,,71.0,False
162,2000.0,Julian Peterson,OLB,Michigan State,231.0,4.68,,,,,,77.0,True
163,2000.0,Erik Olson,SS,Colorado,208.0,4.63,35.0,17.0,115.0,6.81,4.21,73.0,False
164,2000.0,Adewale Ogunleye,DE,Indiana,253.0,,,,,,,76.0,True
165,2000.0,Deltha O'Neal,CB,California,193.0,4.6,,,,,,71.0,True
166,2000.0,Andre O'Neal,ILB,Marshall,235.0,4.72,34.0,16.0,114.0,7.3,4.24,73.0,False
167,2000.0,Rob Morris,ILB,BYU,250.0,4.77,33.0,18.0,113.0,6.93,4.17,74.0,False
168,2000.0,Aric Morris,SS,Michigan State,211.0,4.56,,24.0,,,,69.0,False
169,2000.0,Corey Moore,OLB,Virginia Tech,223.0,4.6,,21.0,,,,71.0,False
170,2000.0,Keith Miller,ILB,California,246.0,4.97,27.5,24.0,110.0,7.37,4.43,73.0,False
171,2000.0,Rob Meier,DE,Washington State,284.0,4.99,30.5,27.0,113.0,7.49,4.52,77.0,False
172,2000.0,Alvin McKinley,DT,Mississippi State,289.0,5.09,27.5,22.0,102.0,7.73,4.61,76.0,False
173,2000.0,Ian Gold,OLB,Michigan,221.0,4.56,33.0,21.0,115.0,6.97,4.19,73.0,True
174,2000.0,Kabeer Gbaja-Biamila,OLB,San Diego State,243.0,4.65,34.0,21.0,120.0,6.9,4.28,76.0,True
175,2000.0,Byron Frisch,DE,BYU,281.0,4.73,34.5,31.0,114.0,7.2,4.41,76.0,False
176,2000.0,Erik Flowers,DE,Arizona State,271.0,4.75,33.0,24.0,114.0,7.21,4.15,76.0,False
177,2000.0,Aaron Fields,DE,Troy,243.0,4.76,34.0,22.0,115.0,7.51,4.56,76.0,False
178,2000.0,John Engelberger,DE,Virginia Tech,260.0,4.73,34.0,24.0,115.0,6.95,4.28,76.0,False
179,2000.0,Shaun Ellis,DE,Tennessee,280.0,4.85,,,,,,76.0,True
